,tweet
80,就活 出汁 作り 似 いる それ 生き様 中 美味しい 所 絞り出し どれ 曇り ないか 見 いく の 余っ 絞り カス 目 くれ 淡々 ゴミ 消える の 待っ いる
81,やる 悩ん いる 間 抜か れ てる
82,朝 もの 自分 醜く する 顔 洗う 瞬間 服 着る 時 ご飯 食べる そういった 行動 醜 さ 洗い流す
83,谷 落ち 人 見 手 伸ばせる 人間 目指す よう なる
84,feat 可 不 水野 あつ 辛く なっ 聞い み
85,そんな 目標 高く 望ん ないん もっと 勉強 でき 人 役に立つ 仕事 し 言っ てる 就活 難しい
86,その 身 宿し 苦痛 唯一 逃れる 方法 変化
87,人間 怖い 愛すること 止め られ
88,いつ もみ てる
89,KUN さん いる
90,正直 者 馬鹿 見る 世界 嘘つき 求め いる
91,どれ 善 しよう どれ 不幸 なろ 人生 最後 選べ 運命 恐れ い 人生 変わら
92,声 恐れ 耳 塞ぎ 災い 恐れ 口 塞ぐ 不幸 恐れ 目 塞ぎ 現実 恐れ 心 塞ぐ 恐怖 闇 中 訪れる
93,瞼 裏 見える 景色 己 真実 写し出す
94,ニーチェ 引用 バレ 説
95,世界 きみ 以外 誰 歩む こと でき 唯一 道 ある その道 どこ 行き着く の 問う なら ひたすら 進め
96,求めて 手 伸ばす した先 ある もの 霞 掴み 自ら 溺れ 水 モヤ かかり うずくまる もがき 止め ただただ 彷徨 う 私 真実
97,進化 感情 山 なのだ 一段 一 段 踏みしめ 先 ある
98,直前 考え
99,私 やめ 止まら 辞める の 死ぬ 事
100,走る それだけ 事 の
101,なんか こっち アカウント 初めて KUN さん いいね さ れ て w
102,変わり 言っ てる うち 変わら
103,思い 空気 なり 消え去り 世界の記憶 塵 なる 記憶 消す の 上手く なり 希望 夢に なる
104,地面 はう アリ なろ 空 飛ぶ 鳥 なろ 雪 埋もれる 狐 なろ こんな 夢 嘲笑う よう なっ の いつ
105,頑張れ それ 人生
106,人 忙し 過ぎる 脳 キャパ オーバー する しっかり 休め
107,他 人 負ける の いい 過去 自分 負ける 常に 成長 し 続けろ
108,星 流れ 悪い みたい 変え いか
109,不安 人 鈍ら せる その 不安 乗り越え 幸せ ある の
110,もう少し 上手く 回し 考える 将来 こと 考え 悲しく なっ くる 寝
111,失敗 成功 繋げる 0 番 コツ 失敗 恐れ こと ある
112,どんだけ 上手く いく よう 設定 し 失敗 する とき 失敗 する 努力 失敗 率 下げる ため 方法 ない
113,ゆっくり 休み ため お金 払う めっちゃ 矛盾
114,感情論 感情論
115,この世 狂っ がる
116,えっ 仮面ライダー 変身 し ん どう すれ なれ
117,ポリ タン 0 万人 凄い おめでとう
118,焦り すぎ 上手く いか 時 深呼吸
119,そんな ヤツ いる まじ w
120,与え られ 快楽 すがりつく ケダモノ
121,私達 人類 スマホ 殺さ れ いる
122,上手く いか こと 上手く いか 嘆く の 簡単 そこ どう する 考える こと 大切 の
123,うごけよ 言葉 する 前
124,そんな 呟い て わ!
125,普通 見逃し て うれ しみ
126,今更 なっ オーズ 映画化 知っ ん まっ 嬉し すぎ 泣ける ちの 青春 あ
127,帰れ 嬉し み
128,寒く あっ ちぃ
129,めっちゃ 電車 遅れ て 帰れん かなしみ ー
130,さすが 就活 YouTube 学校 免許 やっ てる 時間 死ぬ
131,就活 疲れ ぁ なんで 欲しい 企業 内定 取れ
132,成長 の 甘える こと 忘れる こと
133,後悔 たくさん ある 次 し よう 努力 する ん
134,甘え 後悔 する こと 知っ いる
135,自分 未熟 さ 知っ もの 挫折 覚える 挫折 知る もの 成長 もの 無い
136,薬 なれ 毒 なれ あんた ただ 水 花物語 引用 間違い
137,甘える の 頑張っ 特権 ち まだ 甘え 許す 頑張れ い もっと 学べ 人 できる こと 少ない の ない 人 努力 しろ ち
138,配信 終わっ あと 面白く でき どう 見直す もっと トーク 力 つけ ダメ 下手 すぎる
139,ヒーロー 周り 呼ぶ もの なる もの 無い 自ら 名乗る ヒーロー 独り善がり ない
140,大人 子供 延長線 ない ん
141,大人 いつの間にか なっ しまっ 姿 自分 大人 思っ いる やつ 子供 ない 大人 子供 差 それ 大きく 小さい
142,生まれ 初めて 見 もの 死 赤ん坊 死 嫌う 周り 悪 教える それ 悪 教わら 死に なんの 疑問 持た 赤ん坊 生まれる の 人 言葉 人 作っ いる の
143,全く 読ん こと ない ち 村上春樹 かもしれん
144,どちら 言う ポエム w
145,世の中 似 いる 人 0 人 以上 いる その 中 同じ 経験 した 者 誰 一人 いない 経験 自分 の
146,普通 ん 人 比べ 競う こと 仕事 する こと 周り 合わせ 動く こと 違う 普通 ジャズ 聞き 明日 ご飯 想像 する こと 普通 隣 求める もの なく 己 求める こと の
147,枝豆 風船 なっ
148,やらかし ァー
149,オラァ ニクニク 実 食べ 肉 人間 そ ぉ 早く 美形 なり
150,休み よこせ 休む い
151,今月 休み あと 0 日 ない これ 動く ため 生き てん 休む ため 生き てる
152,許さ れる 無限 嗅い い
153,う ひ ょぉぉぉぉぉぉぉぉおおお 文鳥 臭い ォ 臭い めっちゃ 香ばしく 何 度 かげる ぅ ううううう なっ 何だ この 香り いい ぃぃぃ い
154,鼻 痒 すぎ ずっと ベット 擦り 続け てる ん いつ なっ 花粉 やみ
155,辛い 時 聞く 元気 出る 曲
156,ポルノ サウダージ 転調 する の めっちゃ 好き 歌っ て 楽しい
157,最近 忙し すぎ あと 0 ヶ月 休み ー 0 月 頑張る 言っ ある程度 片付い き 無理 頑張ら
158,血 味 意外と 美味しい
159,絶対 嘘 言わ れ そう 人 優れ てる こと 少ないっ 思っ てる ほめ られる すっごい うれしい
160,人 事 嘲笑わ 生き いけ 人 多い
161,まとも 人 なれ 幸せ なる 嘘 人生 楽しん もの 幸せ なる ん
162,くさいっ なに わるい w
163,馬鹿 さ れる w
164,そのため 学ぶ 学ん 自分 あげる ん
165,馬鹿 さ れる しれ 自分 主人公 い ん もん 自分 嘘 つけ 特別 い
166,心 小さ さ 実感 し てる 心 大きく なり
167,重低音 衝撃 最高 すき
168,ヘッドホン 壊れ 修理 代 かかる 言わ れ て 保険 無料 なっ ホクホク めっちゃ うれしい
169,進化 する
170,きんちょう し まくり
171,やる こと 0 個 ある ち 0 人 募集 し
172,今日 運勢
173,頑張っ 次 日 休み なる 法律 用意 し くれ w
174,おっ 最近 体 疲れ てる な!
175,まじ 時間 守れ 直さ
176,もっと 成長 しろ 人間 魅力 磨け もっと 人 頼っ もらえる 人間 なれる
177,無責任 自己評価 高い やっぱり ダメ ん 直そ わるいっ わかぅ てる
178,人 そういう ところ ダメ ん 言わ れ やすい 直そ 勉強 し てる 難しい
179,この 時間 食べる ご飯 美味し すぎ 無限 食べ れる
180,エビ ガーリック 山 食べ
181,やっぱり 今回 はや ち わるかっ ごめんなさい
182,辛いっ 感情 人 成長 さ せる 受け止め 歯 食いしばっ 前 向い いく 過去 願掛け し 意味
183,全て 受け止め られる 人 目指し 頑張っ てる まだまだ 未熟 者 難しい
184,参加 勢 募集 し い 悲しい ω
185,うーん ネタ 作る 才能 欲しい 人 パクリ みたい の 作れ
186,今日 ネタ 反省 点 流れ 読め て 次 ネタ 流れ しっかり 読む そのうち 最高 ネタ 書い やる
187,今日 限っ PC すぐ 起動 する の ん 昨日 起動 し くれ
188,今日 ちの ダメ とこ 焦り すぎ 言わ れ うまく ダメ 点 わかん どういう こと ん
189,うん
190,言わ れ そう 思わ れ てる こと 反省 し こっち し
191,KUN さん 褒め てる いう 信じよ 自己肯定感 高言 褒め くれ 嬉しい
192,0時 予定 ある 0時 編集 終わら せる つもり やっ の 終わら かっ
193,やり こと する ため やり こと しっかり やる 等価交換
194,うん むずかしい 少し づつでもできるようにしていかなきゃ
195,ピン 胸 張る 顔 上げ 前 見る そういう こと 0 番 大切 ん
196,嵐 憧れ 人 こと 勇気づけ られる 存在 なろ 思っ 実質 嵐 聖母
197,その つもり ある 言わ れる わかん
198,この 界隈 入っ 時 裏 垢 作ん ないっ 言っ せい ちょっと 抵抗 あっ w
199,こっち アカウント 多分 臭く なっ 大丈夫
200,めっちゃ かわいい これ 好き
201,ありがとう ちの 人生観 見 い人 見れる よう し こっち こっち 動く
202,憧れる の 自分 最大限 尽くせ それ ちの 考える 本気
203,なら ち 一人 多く 人 支え られる 人 なら
204,こうたん みたい 編集 うまく なり 暇人 みたい 配信 面白く し ドク みたい 急 面白い こと 言える よう なり よしこ ちゃん みたい みんな 好か れる 存在 なり そんな なり できる よう なろ 思っ て これ でき 素晴らしい 人間 なら
205,臭い 発言 多い 言わ れ こっち これから 書く み たい人 見れる よう する
