yaci
"強くなるから頑張るから Jan 20, 2022 "
"幸せのために戦え戦い続けろ Dec 25, 2021 "
"元気になったってコメントが1番嬉しいね Dec 25, 2021 "
"過去には戻れない前をみろ Dec 25, 2021 "
"クリスマスは人の成長を感じさせられる人生の栞 Dec 24, 2021 "
"幸せとは人を貶め、 夢を壊す Dec 23, 2021 "
"何もない地面から 体の何倍もの巣を作る虫はなんで素晴らしい Dec 23, 2021 "
"忘れるな声を聞くことを Dec 22, 2021 "
"人生とは、 ご飯を食べること 仕事をすること ゆっくり休むこと そして死ぬことなのである。 どんな人生だろうとこれは変わらない Dec 19, 2021 "
"地を這う虫けらをなぜ笑う あなたにとっての地は 他者にとっての天でもあるのに Dec 19, 2021 "
"諦める振りをするのは簡単だ でも心は諦めていない Dec 16, 2021 "
"求めているもの 願ってたもの その全てが虚像に変わってく Dec 15, 2021 "
"胸が高まる道に突き進め 茨を進もうと 吹雪に見舞われようと 胸の高鳴りこそ、生きた証であるのだから Dec 15, 2021 "
"なぜ20までは成長するのに 20からは成長をしなくなる？ Dec 15, 2021 "
"子供にはルールを守れというのに 大人はなぜルールを破るのだ 成長で手に入れたのは、偏見のみである Dec 15, 2021 "
"止まることこそ恐怖である Dec 14, 2021 "
"無味無臭 Dec 14, 2021 "
"夜は暗い 暗い闇に体は沈み包まれ そして蛹になる Dec 13, 2021 "
"最近、就活してたせいでなのか自己肯定感下がったなぁー 変わりたくなかったなぁ Dec 13, 2021 "
"求めるのは今の自分ではなく、将来の進化した自分だ Dec 13, 2021 "
"己の未熟さを牙にしろ Dec 13, 2021 "
"動かない理由なんてない Dec 13, 2021 "
"求めるな与え続けろ Dec 13, 2021 "
"動くが止まるか 選択はそれだけだ Dec 13, 2021 "
"水の中を必死で泳ぐブリは知らない 自らは限界を迎えているということに、 上を向き必死にもがいても進化の道は閉ざされている それでもブリは必死に泳ぐ Dec 12, 2021 "
"諦めたオトナが 正しさを振りかざすな Dec 11, 2021 "
"求めろ求めろ求めろ 求めることでしか渇きは収まらない Dec 11, 2021 "
"もっと配信回せるようにならなきゃ、 やちひとりでもだいじょうぶって思ってもらえるくらい頑張らなきゃ、日々勉強 Dec 11, 2021 "
"参加勢飲み会4次会！眠れると思うなよ！ https://t.co/f62Vm70V4p @YouTubeより Dec 11, 2021 "
"求めている答えが 真実とは限らない Dec 11, 2021 "
"夢を諦めるな 諦めるにはまだ早い Dec 11, 2021 "
"鍋の中 そこは見えぬスープの中で 掴め未来を予想して Dec 10, 2021 "
"全人類、己の不幸で着飾っている Dec 10, 2021 "
"手を伸ばせ 明日を掴むために Dec 10, 2021 "
"就活とは出汁作りに似ている それまで生き様の中から、 美味しい所のみを絞り出し どれだけ曇りがないか見ていくのだ そして余った絞りカスには目もくれず 淡々とゴミが消えるのを待っている Dec 10, 2021 "
"やるべきか 悩んでいる間に抜かれてる Dec 10, 2021 "
"朝というものは自分を醜くする 顔を洗う瞬間 服を着る時 ご飯を食べる そういった行動は醜さを洗い流す Dec 10, 2021 "
"谷に落ちた人を見て 手を伸ばせる人間を目指すようになる。 Dec 09, 2021 "
"でもね feat.可不 - 水野あつ https://t.co/OCgeBNMihn @YouTubeより 辛くなったら聞いてみて Dec 09, 2021 "
"そんな目標高く望んでないんだけどなぁ もっと勉強ができて、人の役に立つ仕事がしたい。って言ってるだけなのに就活って難しい Dec 09, 2021 "
"その身に宿した苦痛から、 唯一逃れる方法は変化である Dec 09, 2021 "
"人間って怖い それでも愛することは止められない Dec 08, 2021 "
"@sandwiti0141 いつでもみてるよ👁👁 Dec 08, 2021 "
"@sandwiti0141 KUNさんがいるよ！ Dec 08, 2021 "
"正直者は馬鹿を見る、 世界は嘘つきを求めている Dec 07, 2021 "
"どれだけ善をしようと、 どれだけ不幸になろうと、 人生の最後は選べない。 運命に恐れていても人生は変わらない。 Dec 07, 2021 "
"声を恐れて耳塞ぎ、 災いを恐れて口を塞ぐ、 不幸を恐れて目を塞ぎ、 現実を恐れて心を塞ぐ、 しかし恐怖は闇の中から訪れる。 Dec 07, 2021 "
"瞼の裏に見える景色は己の真実を写し出す。 Dec 07, 2021 "
"ニーチェの引用だけどバレない説 Dec 07, 2021 "
"世界には、きみ以外には誰も歩むことのできない唯一の道がある。 その道はどこに行き着くのか、と問うてはならない。 ひたすら進め。 Dec 07, 2021 "
"求めて手を伸ばすした先にあるものは霞を掴み、自ら溺れた水にはモヤがかかりうずくまる、もがきを止めただただ彷徨う私の真実 Dec 07, 2021 "
"RT @_natsu5515: ー名言は何を言うかではない、誰が言うかなのだー Dec 07, 2021 "
"進化とは感情の山なのだ 一段一段踏みしめた先にある Dec 07, 2021 "
"直前に考えた https://t.co/XGrq5EwKQ7 Dec 07, 2021 "
"私はやめない止まらない、 辞めるというのは、死ぬ事だ Dec 07, 2021 "
"走るそれだけの事なのだ Dec 06, 2021 "
"なんかこっちのアカウント初めてKUNさんにいいねされてたw Dec 06, 2021 "
"変わりたいと言ってるうちは変わらない Dec 06, 2021 "
"思いは空気になり消え去り、 世界の記憶は塵になる。 記憶を消すのが上手くなり、 希望は夢にになる。 Dec 06, 2021 "
"地面をはうアリになろう、 空を飛ぶ鳥になろう、 雪に埋もれる狐になろう、 こんな夢を嘲笑うようになったのはいつだろう？ Dec 06, 2021 "
"頑張れ！それだけが人生だ！ Dec 05, 2021 "
"人って忙し過ぎると脳のキャパオーバーするから、しっかり休め Dec 01, 2021 "
"他の人に負けるのはいい だが過去の自分に負けるな 常に成長し続けろ！ Dec 01, 2021 "
"星の流れが悪いみたい。 変えていかないと Nov 28, 2021 "
"不安は人を鈍らせる その不安を乗り越えてこそ幸せがあるのだ。 Nov 28, 2021 "
"もう少し上手く回したかったとかも考えるし、将来のことも考えて悲しくなってくる。寝よ Nov 28, 2021 "
"失敗を成功に繋げる1番のコツは失敗を恐れないことにある。 Nov 27, 2021 "
"どんだけ上手くいくよう設定しても、失敗するときは失敗する。 努力とか失敗率を下げるための方法でしかない。 Nov 27, 2021 "
"ゆっくり休みたいがためにお金を払うってめっちゃ矛盾じゃね？ Nov 27, 2021 "
"感情論感情論！ Nov 26, 2021 "
"この世は狂ってやがる！！ Nov 25, 2021 "
"えっ？仮面ライダー変身したいんだけど！！どうすればなれますか！！！ Nov 25, 2021 "
"ポリタン2万人凄いね！！おめでとう！！ Nov 23, 2021 "
"焦りすぎて上手くいかない時こそ深呼吸！ Nov 23, 2021 "
"@Hi__mazin そんなヤツいるってまじ！？w Nov 23, 2021 "
"与えられた快楽にすがりつくケダモノよ Nov 22, 2021 "
"私達人類はスマホに殺されている。 Nov 22, 2021 "
"上手くいかないことに関して、上手くいかないと嘆くのは簡単だろう。そこからどうするか考えることが大切なのだ Nov 22, 2021 "
"うごけよ！言葉にする前に！ Nov 22, 2021 "
"そんな呟いてないわ！ https://t.co/bPE5P4Xqkf Nov 22, 2021 "
"@MrK8569713904 普通に見逃してた！うれしみ！ Nov 20, 2021 "
"今更になってオーズの映画化知ったんだけどまって！！嬉しすぎて泣ける！！！ やちの青春があ！！！！ Nov 20, 2021 "
"@maho02140 帰れたら嬉しみだよ！ Nov 19, 2021 "
"@okomexe 寒くはない！あっちぃ！ Nov 19, 2021 "
"めっちゃ電車遅れてて帰れんかなしみー！ Nov 19, 2021 "
"さすがに就活とYouTubeと学校と免許やってると時間死ぬ！ Nov 12, 2021 "
"就活疲れたぁ！なんで欲しい企業の内定は取れないねん！ Nov 12, 2021 "
"成長というのは甘えることを忘れることである Nov 11, 2021 "
"@tanaka_tyan__ 後悔なんてたくさんあるよ。だからこそ次はしないように努力するんだ Nov 10, 2021 "
"@tanaka_tyan__ 甘えたら後悔することを知っているから Nov 10, 2021 "
"自分の未熟さを知ったものは挫折を覚える。 だが挫折を知るものにしか成長というものは無い。 Nov 10, 2021 "
"薬になれなきゃ毒になれ。 でなきゃ、あんたはただの水だ。 花物語からの引用だけど間違いない Nov 10, 2021 "
"甘えるのは頑張ったものの特権 やちはまだ甘えを許すほど頑張れていない。もっと学べ、人よりできることは少ないのない、だから人より努力しろやち Nov 10, 2021 "
"配信終わったあとに面白くできたかどうか見直すけど、もっとトーク力つけなきゃダメだな。 下手すぎる Nov 10, 2021 "
"ヒーローとは周りが呼ぶものである。 なるものでは無い。 自ら名乗るヒーローは独り善がりでしかない Nov 10, 2021 "
"@ra_mendayo708 大人なんて、子供の延長線でしかないんだよ Nov 10, 2021 "
"大人っていつの間にかなってしまった姿で、自分が大人だと思っているやつは子供でしかない。 大人と子供の差ってそれくらい大きくて小さい Nov 10, 2021 "
"生まれて初めて見たものが死であっても、 赤ん坊は死を嫌うだろう。 周りが悪を教えるからだ。 だかそれを悪だと教わらなかったら、 死になんの疑問も持たない赤ん坊が生まれるのではないだろうか？ 人の言葉が人を作っているのだ。 Nov 09, 2021 "
"@kuramo_46 全く読んだことないけど、やちは村上春樹かもしれん Nov 09, 2021 "
"@kuramo_46 どちらかと言うとポエムだねw Nov 09, 2021 "
"世の中に似ている人は100人以上いる、 だがその中で、同じ経験をした者など誰一人いない経験こそ自分なのだ Nov 09, 2021 "
"普通ってなんだろ 人と比べて競うことか、 仕事をすることだろうか、 周りに合わせて動くことだろうか、 違う。 普通とはジャズを聞きながら明日のご飯を想像することだ。 普通とは隣に求めるものではなく。己に求めることなのだ Nov 09, 2021 "
"枝豆風船になった！！ https://t.co/lfYwg73qsU Nov 09, 2021 "
"やらかしたァー Nov 09, 2021 "
"オラァ、ニクニクの実を食べた肉人間だそぉ！早く美形になりたい！ Nov 08, 2021 "
"休みをよこせ！休むんじゃい！！ Nov 08, 2021 "
"今月休みあと5日しかないじゃん！！！ これじゃあ動くために生きてんじゃん！休むために生きてるのに！ Nov 08, 2021 "
"@kaniii1010 許されるなら無限に嗅いでいたいよ！ Nov 08, 2021 "
"うひょぉぉぉぉぉぉぉぉおおお！文鳥が臭いよォ！臭いのにめっちゃ香ばしくて何度でもかげるぅううううう！なっ何だこの香りいいぃぃぃい！ Nov 08, 2021 "
"鼻痒すぎてずっとベットに擦り続けてるんですが、いつになったら花粉はやみますか？ Nov 08, 2021 "
"辛い時に聞くと元気出る曲 https://t.co/Vdr2kV4DSZ Nov 07, 2021 "
"ポルノのサウダージ転調するのめっちゃ好き！歌ってても楽しい！ Nov 07, 2021 "
"最近忙しすぎてあと、1ヶ月くらい休みたいー！でも11月から頑張るって言ったし、ある程度片付いてきたから無理にでも頑張らんと Nov 07, 2021 "
"血の味意外と美味しい Nov 07, 2021 "
"絶対嘘とか言われそうだけど.人より優れてることは少ないって思ってるから、ほめられるとすっごいうれしい！ Nov 07, 2021 "
"@nori_5th 人の事を嘲笑わないと生きていけない人多いからね Nov 05, 2021 "
"まともな人になれば、幸せになるなんて嘘だよ 人生を楽しんだものが幸せになるんだ Nov 05, 2021 "
"くさいってなにがわるいの？w Nov 05, 2021 "
"@nori_5th だよね！馬鹿にはされるけどw Nov 05, 2021 "
"そのために学ぶ！学んで自分をあげるんだ！ Nov 05, 2021 "
"馬鹿にされるかもしれないけど、自分は主人公でいたいんだもん！自分に嘘なんてつけないし、特別でいたい！ Nov 05, 2021 "
"心の小ささを実感してる。心大きくなりたい！ Nov 04, 2021 "
"重低音の衝撃最高にすき！！ Nov 04, 2021 "
"ヘッドホン壊れて、修理代かかるって言われてたのに、保険で無料になってホクホクめっちゃうれしい！ Nov 04, 2021 "
"進化するぞ！ Nov 04, 2021 "
"きんちょうしまくり！！ Nov 02, 2021 "
"やること10個ぐらいあるから、やち15人募集します！ Nov 02, 2021 "
"@GANBARE_takasou 今日の運勢！ Nov 02, 2021 "
"頑張った次の日は休みになる法律用意してくれないかな？w Nov 02, 2021 "
"おっはよー！最近の体疲れてるな！ Nov 02, 2021 "
"まじで、時間守れない！直さなきゃ！ Oct 30, 2021 "
"もっと成長しろ！人間としての魅力を磨け！そうしたらもっと人に頼ってもらえる人間になれる！ Oct 28, 2021 "
"無責任とか自己評価が高いとか、やっぱりダメなんだよね…直そう、わるいってわかぅてるなら Oct 28, 2021 "
"人にそういうところがダメなんだよって言われやすいから、直そうと勉強してるけど難しい… https://t.co/xSiyHwSegM Oct 28, 2021 "
"この時間に食べるご飯美味しすぎて、無限に食べれる！ Oct 26, 2021 "
"エビガーリック山ほど食べたい Oct 26, 2021 "
"やっぱり今回はやちがわるかったな…ごめんなさい Oct 26, 2021 "
"辛いって感情は人を成長させるから、受け止めて、歯を食いしばって前を向いていく！過去に願掛けしたって意味なんてない！ Oct 26, 2021 "
"全てを受け止められる人を目指したいからこそ、頑張ってるけどまだまだ未熟者だね…難しい Oct 25, 2021 "
"参加勢募集したけどいなかったので、悲しい(´・ω・｀) Oct 25, 2021 "
"うーんネタ作る才能欲しいなぁ人のパクリみたいなのしか作れない Oct 17, 2021 "
"今日のネタの反省点！流れを読めてなかった！次はネタの流れをしっかり読むぞ！！そのうち最高のネタを書いてやる！ Oct 17, 2021 "
"今日に限ってPCすぐ起動するのなんやねん！！昨日起動してくれよ！ Oct 17, 2021 "
"今日のやちのダメなとこは焦りすぎって言われたけど、うまくダメな点がわかんない？どういうことなんだろ？ Oct 14, 2021 "
"@tuci0627 うん！ Oct 11, 2021 "
"@fun_fun_monster 言われたからにはそう思われてるってことに反省して、こっちのみにしなきゃって！ Oct 11, 2021 "
"KUNさんが褒めてるっていうなら信じよう。自己肯定感高言って褒めてくれて嬉しい！ Oct 11, 2021 "
"4時から予定あるから4時までに編集終わらせるつもりやったのに終わらんかった… Oct 11, 2021 "
"やりたいことをするために、やりたくないこともしっかりとやる！等価交換！ Oct 11, 2021 "
"@ra_mendayo708 うん！むずかしい！でも少しづつでもできるようにしていかなきゃ！ Oct 11, 2021 "
"ピンと胸を張るとか、顔を上げて前を見るとか、そういうことが1番大切なんだよね！ Oct 11, 2021 "
"嵐に憧れて、人のこと勇気づけられる存在になろうと思ったから実質嵐は聖母 Oct 10, 2021 "
"@EGG_gail そのつもりではあるけど！なんて言われるかわかんないから！ Oct 10, 2021 "
"この界隈入った時裏垢とか作んないって言ったせいでちょっと抵抗あったw Oct 10, 2021 "
"こっちのアカウントなら多分臭くなっても大丈夫！ Oct 10, 2021 "
"めっちゃかわいい！！これ好きだなぁ！ https://t.co/EocrKm9U78 Oct 10, 2021 "
"@carl_koyakodo ありがとう！やちの人生観を見たい人だけ見れるようにしたからこっちはこっちで動くよー！ Oct 10, 2021 "
"憧れるのではなく、自分の最大限を尽くせ！それがやちの考える本気だろ！ Oct 10, 2021 "
"ならやちは一人でも多くの人を支えられる人にならなきゃ！ Oct 10, 2021 "
"こうたんみたいに編集うまくなりたい！ 暇人みたいに配信面白くしたい！ ドクみたいに急に面白いこと言えるようになりたい！ よしこちゃんみたいにみんなから好かれる存在になりたい！ そんななりたいをできるようになろうと思ってたけど、でもこれできても素晴らしい人間にはならない！ Oct 10, 2021 "
"臭い発言多いって言われたからこっちにこれから書く！みたい人のみ見れるようにする！ Oct 10, 2021 "
