,index,tweet,target
182,182,いい 感じ ラブ 川 さん シチュー うま すぎ シチュー 作りました 拾,0
183,183,ありがとう,0
184,184,楽し すぎ ありがとう,0
185,185,善 逸 君 最初 ウザ い 感じ 炎上 し 現在 興行収入 0 億 円 アニメ 人気投票 一 位 今世紀 最大 炎上商法 成功者 草,0
186,186,おつぎ 大佐 手 入れる,0
187,187,ば ぶ,0
188,188,,0
189,189,横浜 港区女子 みたい 人 たくさん い 東京 郊外 出身 っぽい ツイート,0
190,190,炎 炎 炎 帰せ ラートム,0
191,191,日本 タンバム 年内 一 回 行っ み パクパク ちゅ ぎゅ セロイ,0
192,192,Pカップ 見事 騙さ れ,0
193,193,おなら 思っ 踏ん張っ 下痢 鬱 なり そう,0
194,194,昨日 動画 中頭 中 梨泰院クラス BGM ずっと 流れ て オゥ,0
195,195,あ むぎ サイゼ マルチ し そう,0
196,196,二 周年 記念 投稿 今年度 仲良し チーム いう 強い チーム 変化 きた 年 思い ここ 我々 強い 思い 皆さん 0 年 目 期待 し ください 個人的 今年度 YouTube 考え 生き 何 熱中 できる 最高 サングラス 写真 マルチ商法 初期 メン みたい 草,0
197,197,どうやら インスタ 公開 し くれ みたい こちら 加工 フル 無視 化け物 天使 画像 なり,0
198,198,セス セ 始まっ ス 終わる もの,0
199,199,休日返上 アニメ 見 逆 疲れ ちゃう 日 いつか 過ごし,0
200,200,やまと 勧め られ ストレングスファインダー やっ 一位 自我 クソ 笑っ ぼく 割と プライド 高い,0
201,201,インスタライブ 静か やっ いき,0
202,202,0 万 人 いき ありがとう みなさん 拡散 とても 力 なっ グループ LINE 僕たち 動画 投下 し まくっ ちゃっ ください,0
203,203,八月 終わり 皆さん 応援 ありがとう 本日 雨模様 灼熱 夏 少し 恋しい 八月 影 功労者 ボン さん 彼 しこたま 頑張っ い 皆さん ねぎらい 言葉 かけ あげ ください 他 こと インスタ 綴り これから どうぞ よろしくお願いします Twitter 堅く 草,0
204,204,初めて 急上昇 皆さん 載せ くれ おかげ 本当に ありがとう Twitter トレンド 狙い この ハッシュタグ ツイート よろしくお願いします コム ドット 初 急上昇,0
205,205,来 ください あむ ぎりくんの 歯ブラシ 掃除 つかっ ちゃっ 次 買っ き ください,0
206,206,平日 二 本 投稿 完了 皆さん 応援 おかげ なんとか 乗り切る こと でき これ 建前 では なく 確実 僕たち モチベーション なっ い の 思い みんな 応援 すごい ん 明日 動画 楽しみ,0
207,207,妹 い,0
208,208,お 待た せ し コム ドット KANGOL REWORD コラボ Tシャツ パーカー 本日 受注 開始 なり 受注 締め切り 0 0 木 0時 0分 皆さん ぜひ 僕たち お揃いで き 詳細 こちら,0
209,209,報告 この 度 KANGOL REWARD 様 コラボ さ せ 頂く こと なり 完全 受注 生産 0 月 受注 開始予定 コム ドット っぽい デザイン 仕上がっ いる お 楽しみ KANGOL 楽しみ,0
210,210,仮性包茎,0
211,211,昨日 エムステ 香水 聴い そう 思い,0
212,212,hip hop 複雑 音楽 デジタル化 加速 し いろんな もの 便利 なっ 逆 シンプル バラード アナログ チック 文化 0 年 後 流行っ てる 気 する ノーマル アブノーマル なる 時代 来る 気 する,0
213,213,ノーマル アブノーマル カッコ いい 時代 そろそろ くる 気 する,0
214,214,罰ゲーム 的 感覚 あまり なくなっ たまに 投稿 形 なり,0
215,215,地味 ウォシュレット 続け 普通 ハマり,0
216,216,いつか 息子 娘 でき この 漫画 繋ぎ ハイキュー 古舘春一 先生 最高 漫画 バレーボール,0
217,217,回り道 咲い て 花 ある ハイキュー 最高 漫画 本当に お疲れ様,0
218,218,明日 Instagram 頑張り おやすみなさい。 嘘 編集 頑張る もう ちょっと おき,0
219,219,あ ちょ す,0
220,220,最近 Instagram ハマっ しまい すいません,0
221,221,もう きつい この 罰ゲーム,0
222,222,ソクラテスプラトンアリストテレス 三角錐 泥酔 勉強 対決,0
223,223,良い ギャップ 作り方 先行 的 くる イメージ 悪い もの し 0 割 ウェイト 持た せ 上 良い イメージ 0 割 ウェイト 持た せる こと 泥酔 勉強 対決,0
224,224,スコラ哲学 世界 愛し い 思う ん 泥酔 勉強 対決,0
225,225,大変 雨 ヤバシュウゴザイマス,0
226,226,肉 野菜炒め イタリアン 風 しよう し 人参 硬 すぎ wwww こちら,0
227,227,一週間 深田えいみ さん 生活 最終日 どんな ご 褒美 いい 珞 深夜 0時 バキバキ 金玉 間違え 目 玉,0
228,228,一週間 深田えいみ さん 生活 再 最終日 どんな ご 褒美 いい 珞 深夜 0時 バキバキ 金玉 間違え 目 玉,0
229,229,僕 概要 欄 深い よう 死ぬ 浅い,0
230,230,ありがとう,0
231,231,ありがとう,0
232,232,調べろ カス おじさん,0
233,233,メニュー あっ てる わからん,0
234,234,居酒屋 たぶん 一年 行か 鳥貴族 山芋 鉄板焼き 食い 誰か レシピ 教え ください,0
235,235,0 日 目 携帯 調子 悪 すぎ 誤字 多め ぴえん,0
236,236,一緒に トイレ する 一週間 深田えいみ さん 生活 0 日 目 もう わけ わら なくなっ き,0
237,237,付け焼き刃 0 個 仕入れ カカシ 先生 みたい 火影 目指す,0
238,238,今月 セス 人気 欲しい キャラ 生き延び 思い,0
239,239,一緒に パック しよ 一週間 深田えいみ さん 生活 0 日 目 鎖骨,0
240,240,ニュー ロ光 Wi-Fi クソ 早い ンゴ 快適,0
241,241,禁煙 ダブルパンチ 瀕 死 し い,0
242,242,おは よっ 一週間 深田えいみ さん 生活 0 日 目,0
243,243,今日 パスタ え,0
244,244,飼い主 待っ てる ニャン 一週間 深田えいみ さん 生活 0 日 目,0
245,245,こちら 見れ 今日 サムネ すごい いい サムネ 誰 つくっ てる ん 疑問 思っ てる 方 いらっしゃる 思い 基本的 ヤマトくん 作っ 今日 サムネ すごく いい 皆さん 投稿 遅れ しまい 是非 見 く やさい,0
246,246,怪獣のバラード 久々 聞い ずっと 怪獣 範馬勇次郎 想像 し 聞い しまっ,0
247,247,肩 上 踊り なさい 一週間 深田えいみ さん 生活,0
248,248,誰 今日 編集者,0
249,249,ほ ー ら 頑張っ 見 て あげる 一週間 深田えいみ さん 生活,0
250,250,親子丼,0
251,251,ベジータ M 字,0
252,252,同担拒否 理解 持て ありがとう,0
253,253,いろんな 意見 ある みたい 面白い さぁ みんな 意見 聞か せ くれ 嵐,0
254,254,潔く おもろい,0
255,255,昨日 メンヘラ オタク 熱中 しろ 動画 いっ コメント欄 同担拒否 なっ 死ん うって 書い あっ 確か なっ 思っ 同担拒否 気持ち 悪い 価値観 合う 友人 できる しれ,0
256,256,実写版 シュタインズゲート ダル 役 あ むぎ,0
257,257,アキラ 主人公 名前 アキラ 名前 の 今年 一 番 衝撃,0
258,258,料理 ん 元 パクリ 今 パイオニア なる の なかなか 難しい 社会 モノマネ 人 成長 する 今日 作っ 餃子 腹下し,0
259,259,チャンス 荒波 立ち向かわ 限り 訪れ 時々 荒波 身近 起こる 僕 身近 荒波 立っ タイプ ラッキー しがみつい 行こ 思う その ラッキー 何 求め てる 人 舞い込ん こ 貪欲 行く 知らんけど,0
260,260,先日 麻婆茄子 作っ,0
261,261,先日 あむ ぎり 野菜炒め ご馳走 し,0
262,262,本日 動画 だいぶ 時間 経ち わりと 腕 上がり 今日の動画,0
263,263,SNS チャット ねっ 文字 打つ 女性 夜 営み あん っ のっ 大きい,0
264,264,私 そう 思い,0
265,265,あむ ぎりさすさす,0
266,266,私 圧勝,0
267,267,マジ こと ま ぢ いまだに 打っ てる おばさん 昭和 終末 平成 初期 ファッション いまだに 引きずっ いる,0
268,268,坊主 さん 選手権 感 すごい お上手 この 床上手 め,0
269,269,今日 初めて 知っ こと ザーメン ドイツ語 こと 英語 スパーム ザーメン ザーサイ 間違え 母ちゃん ザーメン どこ 聞い こと ある 次 スパーム どこ 言っ ちゃい そう,0
270,270,ラーメン 週 0 食べ しまう 女の子 精神的 脆い 人生 損 する こと 多い ラーメン 数 週 一 回 すれ いい 週 一 度 幸せ 噛み締める こと でき 何ごと 頑張れ 怠慢 豚 人生 終える 僕 ザーサイ こと ザーメン 母親 前 言い 間違え 経歴 あり,0
271,271,はーい 答え た人 もう少し 頭 使え カス,0
272,272,間違え 偏見 ターゲット 的 こと,0
273,273,悪口 言っ 欲しい 人 募集 し,0
274,274,企画 描い 義勇 さん,0
275,275,アイラブユー Dear ワニ 川 一平 0歳 おじ ちゃん,0
276,276,ゆ うた 載せ すごい いいね きた,0
277,277,それ まじ すごぃぃ,0
278,278,それ まじ すごい,0
279,279,今日も一日 お疲れ様 ゆう ん いっ 貴重 黒髪 パーマ 時代 ゆう ただ いいね 欲する,0
280,280,ン ン 今日 写生 し 寝 センシティブ 回避 誤字 岩 じゃがいも 添え 就寝,0
281,281,一切 ない 使え ウヒョ ポロ もち わら,0
282,282,誰 ですか,0
283,283,ちゅ いん チマチョゴリ,0
284,284,おちんちん,0
285,285,ブリギリ ぶりっこ 言お し 変 感じ なっ,0
286,286,いつのまに いつのまに くっ そ 本当 いつのまに Twitter 0 万人 いってん ほんと おめでとう,0
287,287,いつ 吸い 来 ください,0
288,288,私 この 動画 伸びる 気 する,0
289,289,基本的 ずっと ここ いる 換気扇 下,0
290,290,何 言っ 文句 言っ くる 取引先 おじさん 日頃 嫁 娘 等 何 言っ 文句 言わ れ ストレス 溜まっ いる の 思い出し ほしい 自分 やら れ 嫌 こと 人 し いけ 幼き 日 あなた 問いかけ くる,0
291,291,高校時代 カースト ランキング 上位 必死 こびりつい い 女子 そもそも 貴様 根底 ある の 他力本願 精神 人間関係 ファッション 捉え いる ため 一生 理想 追い 続け それ 相応 幸せ 掴み 取る こと でき 自分 上 のし上がれ それ でき 今 自分 愛せ,0
292,292,学生時代 思い出し 青春 思う よう 死ぬ 間際 0 代 0 代 0 代 どの ワンシーン 青春 思う こと あの 頃 楽しかっ では なく 今 どれ 客観 視 し 青春 思える 重要 考える 僕 主観 もの 好き,0
293,293,めんどくさい 草 ありがとう,0
294,294,普通に 神 降臨 し テン パっ,0
295,295,インスタ プロフィール 0 以下 身長 載せ てる 女の子 夜 帰り道 怖い 迎え 来 言わ 小動物 感 醸し出し いる 顔 そんなに よく 夜行性 肉食 獣 襲わ れ しまう 心配 一切 ない あと 小さい 子 大体 カップ 数 大きい,0
296,296,インスタ 質問箱 堂々 下ネタ 返答 する 女の子 コロナ 暇 持て余し 無論 暇 有効活用 でき この 期間 中 爆発 的 可愛く なる こと なく コロナ 終息後 下ネタ 質問 し しょう ない 主 抱か れる 以上 幸せ 噛み締める こと 安定 志向 八方美人,0
297,297,照,0
298,298,この ツイート 意味 わから 奴 胎児 やり直せ,0
299,299,暖かい 始まり 季節 匂い する この 匂い モラトリアム 始まっ 日 思い出さ せる お前 モラトリアム せいぜい 0 年 精一杯 楽しめ,0
300,300,え え え え え え,0
301,301,お仕事 一環 ビジネスライク 日々 精進 し まいり,0
302,302,自身 ブランディング する 上 程度 アンチ 獲得 する こと インプレッション 数 上げ いこ 思い,0
303,303,クズ 男 捕まっ しまう 嘆い てる 女の子 君 達 何 ない 無色透明 自分 恐れ クズ 男 なり ない 色 染め られる こと 色 付い 自分 酔っ いる ほぼ アル中 おっさん 同じ 透明 いい きれいな 色 待ち 続けろ たぶん 一生 処女 毒,0
304,304,コム ドット ゆうま 普段 人間 辞め キャラ 演じ 続ける こと 本来 自分 さらけ出す こと 怯え いる ただ 恥ずかし がり 屋 本来 自分 恥ずかし がら 出し 場合 YouTube 上 存在意義 失う つまり 詰ん でる キャラ いつも 自作自演 お 疲れ 八方塞がり,0
305,305,今日 その 辺 人 悪口 言っ いき 思い 悪口 言っ 欲しい 人 お題 募集 し おり,0
306,306,お前 飯 臭い 今日 かわいい,0
307,307,昨日 ツイート でき ドック フード 食べ うそ くさ すぎ よく あんな の 食える ココ ちゃん,0
308,308,YouTube やっ,0
309,309,0 年間 人間 なり 人間 なっ 思っ RT,0
310,310,セクシー女優 ファン感謝祭 お 行儀 良く 待機 する ファン,0
311,311,全然 違い,0
312,312,お 尻 まわり カピカピ 模様 その後 ウォシュレット 気持ちいい の 健全 変態,0
313,313,最近 幸せ うん ち した 後 あったかい 便座 上 携帯 いじいじ し 気づい 時間 過ぎ いる こと,0
314,314,日常 エモ かっ,0
315,315,これから 精進 し まいり 世間 的 次 0本 目 編集,0
316,316,今日の動画 ミソ それ 0歳 男性 平均 視聴者 年齢 0歳 チャンネル 童貞 卒業 祝わ れ いる こと,0
317,317,コム ドット 創設 期 編集者 二人 愛弟子 今日の動画 意地 終わら せ 自分 ここ でき 決め そこ でき もの 自分 できる 思い込む こと 大事 可能性 ゼロ では なく なる 臭い 発言 し み ハイキュー 効果,0
318,318,一 万 いいね バズリ し,0
319,319,アンチ ムカ つく こと あんま ない 僕 アンチ さん おかげ 毎日 美味しく ご飯 食べ られ アンチ さん いつも 燃やし くれ ありがとう 本当に ご馳走 様 いつも いつも ご苦労 さん,0
320,320,ふふふ ふふふ 今日 君たち おかげ 編集 コメント たくさん あっ うれしい ふふふ ふふふ 欲し がり,0
321,321,面白 さ ため 敬語 失っ しまい すいません,0
322,322,絶対,0
323,323,今日 Twitter 毎日 更新 し でき 日 ドック フード 一 粒 食べ,0
324,324,コム ドット 本当 コアなファン なっ 俺 思う 人 ゆうま 割 編集 し てる コメ欄 編集 こと ほぼほぼ 触れ られ なく 草 腹の中 笑っ てる 人 たま 僕 編集 コメ欄 触れ くれ この キャラ 美味しい 触れ くれ どっち,0
325,325,マーベル 今 ハマる の 遅い,0
326,326,気持 ちかっ,0
327,327,いつの日か 妹 食い 殺さ れる しれ 本望,0
328,328,そろそろ kill time chill 言う 謳い文句 ダサい 商品 お うち 時間 添え 店頭 並び そう,0
329,329,涙腺 大 崩壊 涙 枯渇 充血 我,0
330,330,テラスハウス あるある 楽しい 時 イントロ 見る 停滞 し てる イントロ 見,0
331,331,食パン 目玉焼き 乗せ 瞬間 俺 ラピュタ 叫び なる,0
332,332,ンンンンガワイイイイイ,0
333,333,ココ さん おはよう,0
334,334,0 日 後 髪 生え タピオカ,0
335,335,0 万 人 だぁ わーい いつも み くれ てる 方々 ありがとう,0
336,336,あえて ホワイト ホワイトデー,0
337,337,ホワイトクリスマス なら ホワイト ホワイトデー 鬼 ださく 草,0
338,338,ニット帽 形 見 コンドーム みたい 例える やつ コテコテ 例え 中華料理 屋 床 例える,0
339,339,闇,0
340,340,トリ ケラ ゆう,0
341,341,オフショ,0
342,342,朝 起き 白湯 飲み ヨガ し ランニング する 人出 社 前 ルーティーン 快楽 覚え その 高揚感 玄関 先 バク 転 し ちゃう,0
